track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
KOD,0.21,0.831,0.782,0.113,-6.274,0.15,141.869,0.199
Gypsy,0.017,0.622,0.54,0.265,-13.99,0.0261,130.879,0.847
If I Can't Have You,0.524,0.692,0.809,0.147,-4.198,0.0602,123.911,0.864
You Only Live Once,0.0238,0.63,0.908,0.116,-2.42,0.0326,120.522,0.968
Lo/Hi,0.015,0.606,0.679,0.234,-7.445,0.0321,122.012,0.705
Coming Home (feat. Ms. Lauryn Hill),0.00121,0.579,0.718,0.155,-4.457,0.249,166.223,0.529
Omertà,0.0337,0.646,0.899,0.232,-2.232,0.298,164.119,0.685
Sorry,0.00175,0.775,0.598,0.253,-7.274,0.0535,129.988,0.356
The Chain - 2004 Remaster,0.009,0.545,0.67,0.0451,-8.81,0.0496,151.553,0.481
Everything Is Alright,0.000494,0.435,0.95,0.317,-3.869,0.106,160.987,0.457
Spaceman,0.00257,0.525,0.904,0.12,-5.488,0.0532,151.988,0.803
Season 2 Episode 3,0.543,0.742,0.289,0.228,-7.833,0.115,147.986,0.71
Joan of Arc.,0.745,0.429,0.272,0.103,-16.095,0.0314,90.785,0.0531
The Diving Bell,0.259,0.38,0.696,0.0901,-6.359,0.0393,184.147,0.424
Dancing With A Stranger (with Normani),0.45,0.741,0.52,0.222,-7.513,0.0656,102.998,0.347
Youth,0.129,0.648,0.718,0.112,-7.765,0.0298,96.017,0.785
Say My Name,0.273,0.713,0.678,0.149,-3.525,0.102,138.009,0.734
All Of Us,0.301,0.742,0.904,0.0928,-4.603,0.0939,122.093,0.322
Pretty Little Fears (feat. J. Cole),0.696,0.61,0.458,0.0852,-11.336,0.36,192.099,0.246
LIFE,0.0192,0.902,0.497,0.109,-9.236,0.266,120.016,0.463
Olalla,0.662,0.572,0.409,0.125,-11.384,0.0377,129.983,0.351
Oh Sherrie,0.372,0.333,0.695,0.107,-5.116,0.0465,203.753,0.317
This Life,0.228,0.62,0.712,0.0561,-6.434,0.1,170.234,0.83
Photosynthesis,0.536,0.777,0.662,0.593,-8.393,0.27,111.13,0.634
REEL IT IN,0.073,0.754,0.342,0.193,-8.677,0.0991,128.981,0.423
Paris in the Rain,0.771,0.426,0.408,0.394,-9.419,0.0524,76.309,0.528
Latch,0.0178,0.729,0.735,0.089,-5.455,0.0919,121.986,0.544
