track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
If You Ever Come Back,0.0372,0.547,0.794,0.114,-4.713,0.0276,96.034,0.568
Fix You,0.163,0.209,0.418,0.113,-8.74,0.0338,138.265,0.123
For Those Below (Bonus Track),0.566,0.367,0.447,0.137,-9.821,0.0302,116.515,0.326
Read My Mind,0.00572,0.543,0.917,0.104,-3.391,0.0444,132.246,0.329
Someday,0.00425,0.538,0.52,0.367,-7.46,0.0299,106.031,0.678
Modern Jesus,0.133,0.627,0.633,0.216,-7.41,0.0305,85.999,0.763
All I Want Is You,0.402,0.557,0.407,0.0638,-11.361,0.0457,180.919,0.793
"All My Loving - From ""Across The Universe"" Soundtrack",0.0501,0.435,0.494,0.374,-8.312,0.0863,104.826,0.417
Swallowed in the Sea,0.0557,0.29,0.378,0.119,-10.823,0.0317,142.123,0.153
For the First Time,0.0328,0.396,0.629,0.183,-4.78,0.0287,173.794,0.358
"Hey Jude - From ""Across The Universe"" Soundtrack",0.0564,0.382,0.387,0.101,-9.129,0.0294,143.321,0.174
Thinkin Bout You,0.409,0.721,0.339,0.0973,-11.195,0.0532,129.83,0.2
Honeymoon Avenue,0.218,0.692,0.608,0.348,-5.233,0.041,125.012,0.449
When I Was Your Man,0.932,0.612,0.28,0.088,-8.648,0.0434,72.795,0.387
Make You Feel My Love,0.91,0.325,0.18,0.113,-10.647,0.0311,72.416,0.0997
Evil Friends,0.00165,0.304,0.959,0.129,-4.599,0.401,149.916,0.116
Say You'll Be There,0.626,0.635,0.467,0.118,-7.047,0.0297,99.978,0.405
St. Clarity,0.95,0.575,0.539,0.103,-12.542,0.0304,103.984,0.349
Try,0.807,0.603,0.376,0.108,-9.77,0.0288,139.995,0.538
Sure Thing - Spotify Sessions,0.6,0.613,0.47,0.796,-4.547,0.101,138.134,0.413
Sunday Morning,0.0745,0.607,0.76,0.0595,-5.229,0.0482,88.059,0.805
Machu Picchu,0.0133,0.695,0.814,0.0601,-5.294,0.066,105.011,0.882
All This Time,0.433,0.413,0.374,0.111,-10.744,0.0321,144.93,0.105
"To Be Alone - Live at the Pepper Canister Church, Dublin, Ireland - December 2013",0.861,0.516,0.126,0.709,-13.132,0.0448,131.417,0.275
Lullaby,0.699,0.192,0.361,0.0973,-15.434,0.0337,139.966,0.143
I Will Follow You Into The Dark,0.924,0.517,0.206,0.118,-12.233,0.0421,80.401,0.489
Use Somebody,0.00552,0.276,0.715,0.201,-5.356,0.0432,137.028,0.173
The Girl,0.936,0.499,0.159,0.118,-16.154,0.0337,77.691,0.303
Bloom - Bonus Track,0.882,0.592,0.416,0.112,-9.794,0.0246,96.002,0.417
Sober,0.0972,0.699,0.601,0.562,-6.48,0.0304,98.04,0.434
Talk Is Cheap,0.239,0.664,0.76,0.12,-4.4,0.258,139.999,0.605
Back Down South,0.0634,0.476,0.619,0.258,-7.221,0.0398,117.113,0.154
Notion,0.391,0.352,0.414,0.185,-6.6,0.0254,60.042,0.0688
Sleep On The Floor,0.249,0.389,0.431,0.13,-8.061,0.0344,142.14,0.275
Everything,0.833,0.361,0.237,0.0868,-20.284,0.0354,139.213,0.12
Someday,0.00425,0.538,0.52,0.367,-7.46,0.0299,106.031,0.678
Chameleon,0.00149,0.718,0.934,0.324,-3.153,0.0379,119.989,0.239
Ho Hey,0.794,0.685,0.466,0.0915,-9.074,0.0304,79.936,0.353
Running Away (feat. Motheo Moleko),0.145,0.596,0.689,0.115,-7.523,0.115,90.114,0.29
Hold On,0.206,0.574,0.667,0.0852,-5.425,0.0301,88.299,0.546
Riptide,0.431,0.484,0.731,0.151,-6.694,0.0379,101.654,0.51
Mission To The Sun (feat. Jamie Faull),0.0718,0.711,0.852,0.128,-6.166,0.0764,99.002,0.619
The Way,0.143,0.646,0.882,0.335,-5.648,0.0346,120.837,0.908
Pompeii,0.0755,0.679,0.715,0.271,-6.383,0.0407,127.435,0.571
Life Itself,0.0169,0.696,0.62,0.349,-8.346,0.0346,111.994,0.674
RUN,0.0357,0.711,0.811,0.246,-4.72,0.0377,140.01,0.961
What's Up?,0.161,0.565,0.564,0.114,-10.044,0.0292,134.355,0.454
All I Want Is You,0.0146,0.51,0.636,0.212,-7.583,0.0576,137.617,0.734
Sweet Pea,0.152,0.946,0.289,0.234,-9.413,0.0584,102.073,0.816
I'm Gonna Be (500 Miles),0.151,0.851,0.551,0.0827,-5.177,0.0396,131.922,0.807
Earthquakes and Sharks,0.0087,0.659,0.694,0.473,-5.226,0.0304,111.933,0.894
You Make My Dreams,0.233,0.758,0.594,0.0445,-8.962,0.0537,167.08,0.906
Here Comes The Sun - Remastered 2009,0.0339,0.557,0.54,0.179,-10.484,0.0347,129.171,0.394
Viva La Vida,0.0941,0.485,0.619,0.109,-7.115,0.0289,138.017,0.416
San Francisco,0.0215,0.307,0.847,0.0783,-4.215,0.0551,93.072,0.34
Jungle,0.276,0.592,0.701,0.0882,-5.879,0.0292,146.032,0.509
