track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
Heart Attack,0.0738,0.504,0.785,0.239,-4.802,0.104,173.968,0.502
FRIENDS,0.205,0.626,0.88,0.128,-2.384,0.0504,95.079,0.534
Back To December,0.117,0.529,0.67,0.334,-4.663,0.0303,141.893,0.286
Issues,0.401,0.728,0.415,0.0616,-6.852,0.0639,114.145,0.455
Love Lies (with Normani),0.0956,0.708,0.648,0.134,-5.626,0.0449,143.955,0.338
Lucid Dreams,0.349,0.511,0.566,0.34,-7.23,0.2,83.903,0.218
H.O.L.Y.,0.401,0.523,0.666,0.0726,-4.081,0.0328,78.075,0.562
Never Forget You,0.00312,0.583,0.732,0.269,-5.728,0.0457,145.992,0.276
Better Now,0.331,0.68,0.578,0.135,-5.804,0.04,145.038,0.341
River,0.302,0.733,0.477,0.0579,-6.737,0.0687,62.507,0.545
Just the Way You Are,0.0151,0.637,0.843,0.0876,-5.413,0.0432,109.012,0.434
All Too Well,0.0382,0.602,0.609,0.127,-7.803,0.0243,93.06,0.337
My My My!,0.00407,0.701,0.458,0.045,-7.749,0.0836,102.967,0.482
In the Name of Love,0.109,0.501,0.519,0.454,-5.88,0.0409,133.99,0.168
We Don't Talk Anymore,0.621,0.728,0.563,0.179,-8.053,0.134,100.017,0.352
Into You,0.0162,0.623,0.734,0.145,-5.95,0.107,107.853,0.372
We Are Never Ever Getting Back Together,0.00957,0.628,0.676,0.102,-5.911,0.0916,85.984,0.75
New Rules,0.00261,0.762,0.7,0.153,-6.021,0.0694,116.073,0.608
Truth Hurts,0.11,0.715,0.624,0.123,-3.046,0.114,158.087,0.412
Perfect,0.163,0.599,0.448,0.106,-6.312,0.0232,95.05,0.168
No Guidance (feat. Drake),0.123,0.698,0.454,0.155,-6.756,0.151,92.932,0.137
What Ifs (feat. Lauren Alaina),0.00898,0.612,0.799,0.172,-4.603,0.0275,125.976,0.687
Love Yourself,0.835,0.609,0.378,0.28,-9.828,0.438,100.418,0.515
Location,0.33,0.736,0.449,0.0898,-11.462,0.425,80.126,0.326
Grenade,0.146,0.706,0.558,0.118,-7.237,0.0593,110.443,0.227
A Thousand Years,0.309,0.421,0.407,0.11,-7.445,0.0267,139.028,0.161
What the Hell,0.00448,0.571,0.932,0.117,-3.68,0.0576,150.014,0.864
Body Like A Back Road,0.447,0.732,0.458,0.136,-7.225,0.0311,98.938,0.661
